title,text
Wolf (Admixture with other canids),"In the distant past, there was gene flow between African wolves, golden jackals, and gray wolves. The African wolf is a descendant of a genetically admixed canid of 72% wolf and 28% Ethiopian wolf ancestry. One African wolf from the Egyptian Sinai Peninsula showed admixture with Middle Eastern gray wolves and dogs. There is evidence of gene flow between golden jackals and Middle Eastern wolves, less so with European and Asian wolves, and least with North American wolves. This indicates the golden jackal ancestry found in North American wolves may have occurred before the divergence of the Eurasian and North American wolves. The common ancestor of the coyote and the wolf admixed with a ghost population of an extinct unidentified canid. This canid was genetically close to the dhole and evolved after the divergence of the African hunting dog from the other canid species. The basal position of the coyote compared to the wolf is proposed to be due to the coyote retaining more of the mitochondrial genome of this unidentified canid. Similarly, a museum specimen of a wolf from southern China collected in 1963 showed a genome that was 12–14% admixed from this unknown canid. In North America, some coyotes and wolves show varying degrees of past genetic admixture. In more recent times, some male Italian wolves originated from dog ancestry, which indicates female wolves will breed with male dogs in the wild. In the Caucasus Mountains, ten percent of dogs including livestock guardian dogs, are first generation hybrids. Although mating between golden jackals and wolves has never been observed, evidence of jackal-wolf hybridization was discovered through mitochondrial DNA analysis of jackals living in the Caucasus Mountains and in Bulgaria. In 2021, a genetic study found that the dog's similarity to the extant gray wolf was the result of substantial dog-into-wolf gene flow, with little evidence of the reverse."
Robin Hood (Early ballads),"The earliest surviving text of a Robin Hood ballad is the 15th-century ""Robin Hood and the Monk"". This is preserved in Cambridge University manuscript Ff.5.48. Written after 1450, it contains many of the elements still associated with the legend, from the Nottingham setting to the bitter enmity between Robin and the local sheriff. The first printed version is A Gest of Robyn Hode (c. 1500), a collection of separate stories that attempts to unite the episodes into a single continuous narrative. After this comes ""Robin Hood and the Potter"", contained in a manuscript of c. 1503. ""The Potter"" is markedly different in tone from ""The Monk"": whereas the earlier tale is ""a thriller"" the latter is more comic, its plot involving trickery and cunning rather than straightforward force. Other early texts are dramatic pieces, the earliest being the fragmentary Robyn Hod and the Shryff off Notyngham (c. 1475). These are particularly noteworthy as they show Robin's integration into May Day rituals towards the end of the Middle Ages; Robyn Hod and the Shryff off Notyngham, among other points of interest, contains the earliest reference to Friar Tuck. The plots of neither ""the Monk"" nor ""the Potter"" are included in the Gest; and neither is the plot of ""Robin Hood and Guy of Gisborne"", which is probably at least as old as those two ballads although preserved in a more recent copy. Each of these three ballads survived in a single copy, so it is unclear how much of the medieval legend has survived, and what has survived may not be typical of the medieval legend. It has been argued that the fact that the surviving ballads were preserved in written form in itself makes it unlikely they were typical; in particular, stories with an interest for the gentry were by this view more likely to be preserved."
Abandoned Village,"An abandoned village is a village that has, for some reason, been deserted. In many countries, and throughout history, thousands of villages have been deserted for a variety of causes. Abandonment of villages is often related to epidemic, famine, war, climate change, economic depressions, environmental destruction, or deliberate clearances. Hundreds of villages in Nagorno-Karabakh were deserted following the First Nagorno-Karabakh War. Between 1988 and 1993, 400,000 ethnic Azeris, and Kurds fled the area and nearly 200 villages in Armenia itself populated by Azeris and Kurds were abandoned by 1991. Likewise, nearly 300,000 Armenians fled from Azerbaijan between 1988 and 1993, including 50 villages populated by Armenians in Northern Nagorno Karabakh that were abandoned. Some of the Armenian settlements and churches outside Armenia and the Nagorno-Karabakh Republic have either been destroyed or damaged including those in Nakhichevan. In Australia, the government requires operators of mining towns to remove all traces of the town when it is abandoned. This has occurred in the cases of Mary Kathleen, Goldsworthy and Shay Gap, but not in cases such as Wittenoom and Big Bell. Some towns have been lost or moved when dams are built. Others when the settlement was abandoned for any number of other reasons such as recurring natural disasters such as bushfires or changed circumstances. In Australia, an abandoned settlement that has infrastructure remaining is synonymous with ghost town. In 1988, two years after the Chernobyl disaster, the Belarusian government created the Polesie State Radioecological Reserve, a 1,313 km2 exclusion zone to protect people against the effects of radiation. Twenty-two thousand people lived there in the 96 settlements that were abandoned, including Aravichy and Dzernavichy, and the area has since been expanded by a further 849 km2. In 1968 in the Belgian region of Doel, a ban on building was implemented so that the Port of Antwerp could expand. Then an economic crisis occurred and this plan for expansion was halted. Then in 1998, another plan for the expansion of the Port of Antwerp was released and most of the inhabitants fleed the town."
Stephen Badlam career,"As the American Revolutionary War began in 1775, Badlam enlisted in the Continental Army. He was commissioned as a second lieutenant in the New York City artillery under General Henry Lee, and was over the following year promoted to first lieutenant and captain. While stationed in New York, he became acquainted with Alexander Hamilton, and was appreciated for his engineering abilities. He reportedly was well-liked by George Washington, who would serve as a political inspiration for Badlam throughout his life. He was appointed to major and transferred to service as an artillery commander under General Richard Montgomery in his invasion of Quebec, sailing north along the Hudson River. Following the invasion's failure, he returned to Fort Crown Point. On July 4, 1776, he captured a fortified Vermont hill near Ticonderoga, and on July 18 named it Mount Independence, a name later confirmed by General Horatio Gates. There, he had helped and directed the building of fortifications in the region. During his service, he met the Marquis de Lafayette, who granted Badlam a sword. After fighting at Fort Stanwix under Colonel Marinus Willett in August 1777, Badlam fell under a serious fever. Gravely ill and unable to serve military duties, physicians considered his recovery unlikely, and he resigned service to return to Dorchester. While ill, he reported to have undergone an intense religious experience and prayed for his recovery. Badlam recovered from his illness soon after returning to Dorchester with his wife Mary. Shortly afterwards, Badlam had his first daughter, Polly. Continuing in his career as a surveyor, he plotted Dorchester and neighboring towns. By 1780, he had become a very well-respected cabinet artisan, with a workshop on Old Plymouth Road (now River St.) in the Lower Mills. He frequently collaborated with other artisans and cabinetmakers, frequently doing turning for others. As well as cabinetry, he built and sold picture frames, chairs, windows, looking-glasses, and advertised skills in molding and gilding. Badlam's apprentices included Abiel White and Abner Hersey."
Costa Concordia disaster,"On 13 January 2012, the eight-year-old Costa Cruises vessel Costa Concordia was on the first leg of a cruise around the Mediterranean Sea when she deviated from her planned route at Isola del Giglio, Tuscany, sailed closer to the island, and struck a rock formation on the sea floor. This caused the ship to list and then to partially sink, landing unevenly on an underwater ledge. Although a six-hour rescue effort brought most of the passengers ashore, 33 people died: 27 passengers, five crew, and, later, a member of the salvage team. An investigation focused on shortcomings in the procedures followed by Costa Concordia's crew and the actions of her captain, Francesco Schettino, who left the ship prematurely. He left about 300 passengers on board the sinking vessel, most of whom were rescued by helicopter or motorboats in the area. Schettino was found guilty of manslaughter and sentenced to 16 years in prison. Despite receiving its own share of criticism, Costa Cruises and its parent company, Carnival Corporation, did not face criminal charges. Costa Concordia was declared a ""constructive total loss"" by the cruise line's insurer, and her salvage was ""one of the biggest maritime salvage operations"". On 16 September 2013, the parbuckle salvage of the ship began, and by the early hours of 17 September, the ship was set upright on her underwater cradle. In July 2014, the ship was refloated using sponsons (flotation tanks) welded to her sides, and was towed 320 kilometres (200 mi) to her home port of Genoa for scrapping, which was completed in July 2017. The total cost of the disaster, including victims' compensation, refloating, towing and scrapping costs, is estimated at $2 billion, more than three times the ship's $612 million construction cost. Costa Cruises offered compensation to passengers (to a limit of €11,000 per person) to pay for all damages, including the value of the cruise; one third of the survivors took the offer."
Kerman bombings background,"On 3 January 2020, General Qasem Soleimani was killed in a drone strike in Iraq by the United States. Soleimani was the commander of the Quds Force of the Islamic Revolutionary Guard Corps (IRGC). Soleimani held a position of significant influence in Iran, widely considered the second most powerful figure in the country after Supreme Leader Ayatollah Ali Khamenei. As leader of the Quds Force, the overseas operations arm of the IRGC, he played a key role in shaping Iranian policy across the region. Soleimani was responsible for overseeing clandestine missions and providing guidance, funding, weapons, intelligence, and logistical support to allied governments and armed groups, including Hamas and Hezbollah. During the burial procession for Soleimani in Kerman on 7 January 2020, a stampede occurred killing at least 50 mourners and causing injuries to over 200 individuals. The 2024 attack came amidst heightened tensions in the Middle East following the 2023 Israel–Hamas war and its spillover conflicts. A day before the bombings, an Israeli drone strike in Lebanon killed Hamas's deputy leader Saleh al-Arouri, while a week prior, an Israeli airstrike killed Iranian general Sayyed Razi Mousavi in Syria. Into the 2020s, the Islamic State and other Sunni extremist groups have launched similar attacks in the Shiite-majority country. The twin explosions struck a procession going towards Soleimani's tomb in the Golzar Shohada cemetery, around the Saheb al-Zaman mosque, to commemorate the fourth anniversary of his death. The first explosion occurred 700 metres from Soleimani's grave near a parking lot, while the second occurred one kilometre away at Shohada Street, where many had fled. The explosives were placed in such a manner as to prevent their detection at the security gates. The explosions occurred between 10 to 15 minutes apart. According to Iranian media reports, the attack was carried out using two briefcase bombs placed at the entrance. The explosives were detonated remotely. A witness said one of the bombs was placed inside a trash bin. The deputy governor of Kerman province said the incident was a terrorist attack."
Strike in Baixa do Cassange,"The Strike in Baixa do Cassange, also called Mariano's revolt and Maria's war, it was a labor strike considered the first political movement that would trigger the Angolan War of Independence exactly one month later and the Portuguese Colonial War over the next three years in the Portuguese overseas provinces. The uprising began on 4 January 1961 in the region of Baixa do Cassanje, district of Malanje, Portuguese Angola. By the following day the Portuguese authorities had successfully suppressed the revolt. 4 January is now Colonial Martyrs Repression Day (Dia dos Mártires da Repressão Colonial), a national holiday in Angola. On 3 January 1961, agricultural workers employed by Cotonang, a Portuguese-Belgian cotton plantation company, staged a protest demanding improved working conditions. The protest, which later became known as the Baixa de Cassanje revolt, was led by two previously unknown Angolans, António Mariano and Kulu-Xingu. During the protest, the Angolan workers burned their identification cards and physically attacked Portuguese traders on the company premises. The protest led to a general uprising, to which Portuguese authorities responded with an air raid the following day on twenty villages in the area, killing large numbers of villagers. While the People's Movement for the Liberation of Angola (MPLA) claimed that the air raid killed some ten thousand people, most estimates range from 400 to as many as 7,000 killed. Colonial Martyrs Repression Day is commemorated each year with a public holiday on 4 January. On 15 March, two months later, the União das Populações de Angola (UPA), led by Holden Roberto, staged a popular revolt in the Bakongo region of northern Angola. Angolan Bantu farmers and coffee-plantation workers joined the uprising and in a frenzy of rage, killed some 1,000 white Angolans in a few days, together with an unknown number of natives. The rioters burned plantations, bridges, government facilities, and police stations, and destroyed several barges and ferries."
Daniel Bernoulli early life,"Daniel Bernoulli was born in Groningen, in the Netherlands, into a family of distinguished mathematicians. The Bernoulli family came originally from Antwerp, at that time in the Spanish Netherlands, but emigrated to escape the Spanish persecution of the Protestants. After a brief period in Frankfurt the family moved to Basel, in Switzerland. Daniel was the son of Johann Bernoulli (one of the early developers of calculus) and a nephew of Jacob Bernoulli (an early researcher in probability theory and the discoverer of the mathematical constant e). He had two brothers, Niklaus and Johann II. Daniel Bernoulli was described by W. W. Rouse Ball as ""by far the ablest of the younger Bernoullis"". He is said to have had a bad relationship with his father. Upon both of them entering and tying for first place in a scientific contest at the University of Paris, Johann, unable to bear the ""shame"" of being compared Daniel's equal, banned Daniel from his house. Johann Bernoulli also plagiarized some key ideas from Daniel's book Hydrodynamica in his own book Hydraulica which he backdated to before Hydrodynamica. Despite Daniel's attempts at reconciliation, his father carried the grudge until his death. Around schooling age, his father, Johann Bernoulli, encouraged him to study business, there being poor rewards awaiting a mathematician. However, Daniel refused, because he wanted to study mathematics. He later gave in to his father's wish and studied business. His father then asked him to study in medicine, and Daniel agreed under the condition that his father would teach him mathematics privately, which they continued for some time. Daniel studied medicine at Basel, Heidelberg, and Strasbourg, and earned a PhD in anatomy and botany in 1721. He was a contemporary and close friend of Leonhard Euler. He went to St. Petersburg in 1724 as professor of mathematics, but was very unhappy there. A temporary illness together with the censorship by the Russian Orthodox Church and disagreements over his salary gave him an excuse for leaving St. Petersburg in 1733. He returned to the University of Basel, where he successively held the chairs of medicine, metaphysics, and natural philosophy until his death."
Nellie Cashman,"Cashman left her family home in 1874 for the Cassiar Country in British Columbia. She set up a boarding house for miners at Telegraph Creek, asking for donations to the Sisters of St Anne in return for the services available at her boarding house. Cashman was travelling to Victoria to deliver 500 dollars to the sisters of St. Anne when she heard that a snowstorm had descended on the Cassiar Mountains, stranding and injuring 26 miners, who were also suffering from scurvy. She took charge of a six-man search party and collected food and medicine to take to the stranded miners. Conditions in the Cassiar Mountains were so dangerous that the Canadian Army advised against attempting the rescue. Upon learning of Cashman's expedition, a commander sent his troops to locate her party and bring them to safety. An army trooper eventually found Cashman camped on the frozen surface of the Stikine River. After 77 days of harsh weather, Cashman and her party located the sick men, who numbered far more than 26. About 1880, Cashman moved to Tombstone, Arizona. She raised money to build the Sacred Heart Catholic Church, and committed herself to charity work with the Sisters of St. Joseph. She took a position as a nurse in a Cochise County hospital, but also opened another restaurant and boarding house. In 1898, Cashman left Arizona for the Yukon in search of gold, staying until 1905. Her prospecting ventures took her to Klondike, Fairbanks and Nolan Creek in Yukon-Koyukuk County, Alaska. She later owned a store in Dawson City, Yukon. She subsequently settled in Koyukuk, Alaska, along with other established miners. In January 1925, Cashman developed pneumonia and rheumatism. Friends admitted her to the Sisters of St. Anne, the same hospital which she had helped to build fifty-one years earlier. She died there, and was interred at Ross Bay Cemetery in Victoria, British Columbia. Her sister Fanny Cunningham was widowed in 1881. Cashman arranged for Fanny and her five children to move to nearby Tucson, Arizona. Fanny died in 1884 of tuberculosis, leaving her children in Cashman's care. In December 1883, bandits committed the Bisbee massacre in Tombstone, killing four innocent bystanders and wounding two others in the course of a robbery. The five men were convicted and sentenced to die by hanging on 28 March 1884. The hangings proceeded as scheduled, but out of public view. When Cashman learned that a medical school planned to exhume the bodies of the convicts for study, she enlisted two prospectors to stand watch over the Boot Hill Cemetery for 10 days."
Hernan Cortès Early life,"Cortés was born in 1485 in the town of Medellín, then a village in the Kingdom of Castile, now a municipality of the modern-day province of Badajoz in Extremadura, Spain. His father, Martín Cortés de Monroy, born in 1449 to Rodrigo or Ruy Fernández de Monroy and his wife María Cortés, was an infantry captain of distinguished ancestry but slender means. Hernán's mother was Catalína Pizarro Altamirano. Through his mother, Hernán was second cousin once removed of Francisco Pizarro, who later conquered the Inca Empire of modern-day Peru, and not to be confused with another Francisco Pizarro, who joined Cortés to conquer the Aztecs. (His maternal grandmother, Leonor Sánchez Pizarro Altamirano, was first cousin of Pizarro's father Gonzalo Pizarro y Rodriguez.) Through his father, Hernán was related to Nicolás de Ovando, the third governor of Hispaniola. His paternal great-grandfather was Rodrigo de Monroy y Almaraz, 5th Lord of Monroy. According to his biographer and chaplain, Francisco López de Gómara, Cortés was pale and sickly as a child. At the age of 14, he was sent to study Latin under an uncle in Salamanca. Later historians have misconstrued this personal tutoring as time enrolled at the University of Salamanca. After two years, Cortés returned home to Medellín, much to the irritation of his parents, who had hoped to see him equipped for a profitable legal career. However, those two years in Salamanca, plus his long period of training and experience as a notary, first in Valladolid and later in Hispaniola, gave him knowledge of the legal codes of Castile that he applied to help justify his unauthorized conquest of Mexico. At this point in his life, Cortés was described by Gómara as ruthless, haughty, and mischievous. The 16-year-old youth had returned home to feel constrained life in his small provincial town. By this time, news of the exciting discoveries of Christopher Columbus in the New World was streaming back to Spain."
Milan (Middle ages),"After the siege of the city by the Visigoths in 402, the imperial residence moved to Ravenna. Attila, King of the Huns, sacked and devastated the city in 452 AD. In 539 the Ostrogoths conquered and destroyed Milan during the Gothic War against Byzantine Emperor Justinian I. In the summer of 569 the Lombards (from whom the name of the Italian region Lombardy derives), conquered Milan, overpowering the small Byzantine garrison left for its defence. Some Roman structures remained in use in Milan under Lombard rule. Milan surrendered to Charlemagne and the Franks in 774. The 11th century saw a reaction against the control of the Holy Roman Emperors. City-states emerged in northern Italy, an expression of the new political power of the cities and their will to fight against all feudal powers. Milan was no exception. It did not take long, however, for the Italian city-states to begin fighting each other to try to limit neighbouring powers. The Milanese destroyed Lodi and continuously warred with Pavia, Cremona and Como, who in turn asked Frederick I Barbarossa for help. In a sally they captured Empress Beatrice and forced her to ride a donkey backwards through the city until getting out. These brought the destruction of much of Milan in 1162. A period of peace followed and Milan prospered as a centre of trade due to its geographical position. During this time, the city was considered one of the largest European cities. In 1395, Gian Galeazzo Visconti became the first Duke of Milan upon receiving the title from Wenceslaus, King of the Romans. In 1447 Filippo Maria Visconti, Duke of Milan, died without a male heir; following the end of the Visconti line, the Ambrosian Republic was established; it took its name from St. Ambrose, the popular patron saint of the city. Both the Guelph and the Ghibelline factions worked together to bring about the Ambrosian Republic in Milan. Nonetheless, the Republic collapsed when, in 1450, Milan was conquered by Francesco I of the House of Sforza, which made Milan one of the leading cities of the Italian Renaissance."
Robert Nimmo (World War II),"In March 1940, Nimmo's wife Peggy was killed in a fall at The Gap, a tall cliff near Rosa Gully, north of Dover Heights in eastern Sydney; Nimmo was devastated. On 28 April the Army posted him to Brisbane as GSO I at Northern Command. In September 1941, he was seconded to the Second Australian Imperial Force and posted to the newly raised 1st Armoured Brigade which was forming at Greta, New South Wales, and he was promoted to temporary colonel to be the second-in-command of the brigade. On 10 January 1942, he was promoted to temporary brigadier, and posted to command the 4th Cavalry Brigade. On 10 February 1942 he married fellow Queenslander Mary Dundas Page, at the Church of All Saints in Woollahra, Sydney. Mary was 26 years old and Nimmo was 48. In June, Nimmo was appointed as an aide-de-camp to the Governor-General of Australia, The Lord Gowrie. On 14 July his posting at 4th Cavalry Brigade ended. From 21 January to 16 June 1943, he commanded the 1st Armoured Brigade, before being posted as brigadier, general staff, of III Corps in Western Australia. After nearly a year in this role, on 17 May 1944 he was posted to the same role at the headquarters of the Second Army at Parramatta, New South Wales, which was responsible for units located in the south-eastern states. On 14 March, Nimmo flew to Torokina on the island of Bougainville in the Territory of New Guinea. Upon arrival he took command of the 4th Base Sub Area – the logistics formation supporting the formations fighting the Bougainville campaign – a position he held until 17 May. On that date he was posted as deputy assistant quartermaster general in the headquarters of Lieutenant General Vernon Sturdee's First Army at Lae in New Guinea, a position he held until 29 September when he was appointed to command the 34th Brigade, which was slated to form part of the British Commonwealth Occupation Force (BCOF) in Japan. His appointment as an aide-de-camp to the Governor General was extended to 31 July 1945."
Jurassic (Etymology and history),"The chronostratigraphic term ""Jurassic"" is linked to the Jura Mountains, a forested mountain range that mainly follows the France–Switzerland border. The name ""Jura"" is derived from the Celtic root *jor via Gaulish *iuris ""wooded mountain"", which was borrowed into Latin as a name of a place and evolved into Juria and finally Jura. During a tour of the region in 1795, German naturalist Alexander von Humboldt recognized carbonate deposits within the Jura Mountains as geologically distinct from the Triassic aged Muschelkalk of southern Germany, but he erroneously concluded that they were older. He then named them Jura-Kalkstein ('Jura limestone') in 1799. In 1829, the French naturalist Alexandre Brongniart published a book entitled Description of the Terrains that Constitute the Crust of the Earth or Essay on the Structure of the Known Lands of the Earth. In this book, Brongniart used the phrase terrains jurassiques when correlating the ""Jura-Kalkstein"" of Humboldt with similarly aged oolitic limestones in Britain, thus coining and publishing the term ""Jurassic"". The German geologist Leopold von Buch in 1839 established the three-fold division of the Jurassic, originally named from oldest to the youngest: the Black Jurassic, Brown Jurassic, and White Jurassic. The term ""Lias"" had previously been used for strata of equivalent age to the Black Jurassic in England by William Conybeare and William Phillips in 1822. The French palaeontologist Alcide d'Orbigny in papers between 1842 and 1852 divided the Jurassic into ten stages based on ammonite and other fossil assemblages in England and France, of which seven are still used, but none has retained its original definition. The German geologist and palaeontologist Friedrich August von Quenstedt in 1858 divided the three series of von Buch in the Swabian Jura into six subdivisions defined by ammonites and other fossils. The German palaeontologist Albert Oppel in his studies between 1856 and 1858 altered d'Orbigny's original scheme and further subdivided the stages into biostratigraphic zones, based primarily on ammonites. Most of the modern stages of the Jurassic were formalized at the Colloque du Jurassique à Luxembourg in 1962."
British Empire (Origins 1497–1583),"The foundations of the British Empire were laid when England and Scotland were separate kingdoms. In 1496, King Henry VII of England, following the successes of Spain and Portugal in overseas exploration, commissioned John Cabot to lead an expedition to discover a northwest passage to Asia via the North Atlantic. Cabot sailed in 1497, five years after the first voyage of Christopher Columbus, and made landfall on the coast of Newfoundland. He believed he had reached Asia,[11] and there was no attempt to found a colony. Cabot led another voyage to the Americas the following year but did not return; it is unknown what happened to his ships. No further attempts to establish English colonies in the Americas were made until well into the reign of Queen Elizabeth I, during the last decades of the 16th century. In the meantime, Henry VIII's 1533 Statute in Restraint of Appeals had declared ""that this realm of England is an Empire"". The Protestant Reformation turned England and Catholic Spain into implacable enemies. In 1562, Elizabeth I encouraged the privateers John Hawkins and Francis Drake to engage in slave-raiding attacks against Spanish and Portuguese ships off the coast of West Africa with the aim of establishing an Atlantic slave trade. This effort was rebuffed and later, as the Anglo-Spanish Wars intensified, Elizabeth I gave her blessing to further privateering raids against Spanish ports in the Americas and shipping that was returning across the Atlantic, laden with treasure from the New World. At the same time, influential writers such as Richard Hakluyt and John Dee (who was the first to use the term ""British Empire"") were beginning to press for the establishment of England's own empire. By this time, Spain had become the dominant power in the Americas and was exploring the Pacific Ocean, Portugal had established trading posts and forts from the coasts of Africa and Brazil to China, and France had begun to settle the Saint Lawrence River area, later to become New France.
"
Moon (natural development),"The newly formed Moon settled into a much closer Earth orbit than it has today. Each body therefore appeared much larger in the sky of the other, eclipses were more frequent, and tidal effects were stronger. Due to tidal acceleration, the Moon's orbit around Earth has become significantly larger, with a longer period. Following formation, the Moon has cooled and most of its atmosphere has been stripped. The lunar surface has since been shaped by large impact events and many small ones, forming a landscape featuring craters of all ages. The Moon was volcanically active until 1.2 billion years ago, which laid down the prominent lunar maria. Most of the mare basalts erupted during the Imbrian period, 3.3–3.7 billion years ago, though some are as young as 1.2 billion years and some as old as 4.2 billion years. There are differing explanations for the eruption of mare basalts, particularly their uneven occurrence which mainly appear on the near-side. Causes of the distribution of the lunar highlands on the far side are also not well understood. Topological measurements show the near side crust is thinner than the far side. One possible scenario then is that large impacts on the near side may have made it easier for lava to flow onto the surface."
Christmas Carol (background),"The writer Charles Dickens was born to a middle-class family which got into financial difficulties as a result of the spendthrift nature of his father John. In 1824 John was committed to the Marshalsea, a debtors' prison in Southwark, London. Dickens, aged 12, was forced to pawn his collection of books, leave school and work at a dirty and rat-infested shoe-blacking factory. The change in circumstances gave him what his biographer, Michael Slater, describes as a ""deep personal and social outrage"", which heavily influenced his writing and outlook. By the end of 1842 Dickens was a well-established author with six major works as well as several short stories, novellas and other pieces. On 31 December that year he began publishing his novel Martin Chuzzlewit as a monthly serial; it was his favourite work, but sales were disappointing and he faced temporary financial difficulties. Celebrating the Christmas season had been growing in popularity through the Victorian era. The Christmas tree was introduced in Britain during the 18th century, and its use was popularised by Queen Victoria and Prince Albert. In the early 19th century there had been a revival of interest in Christmas carols, following a decline in popularity over the previous hundred years. The publication of Davies Gilbert's 1823 work Some Ancient Christmas Carols, With the Tunes to Which They Were Formerly Sung in the West of England and William Sandys's 1833 collection Christmas Carols, Ancient and Modern led to a growth in the form's popularity in Britain. Dickens had an interest in Christmas, and his first story on the subject was ""Christmas Festivities"", published in Bell's Weekly Messenger in 1835; the story was then published as ""A Christmas Dinner"" in Sketches by Boz (1836). ""The Story of the Goblins Who Stole a Sexton"", another Christmas story, appeared in the 1836 novel The Pickwick Papers. In the episode, a Mr Wardle describes a misanthropic sexton, Gabriel Grub, who undergoes a Christmas conversion after being visited by goblins who show him the past and future."
Trout_Quintet,"The Trout Quintet (Forellenquintett) is the popular name for the Piano Quintet in A major, D. 667, by Franz Schubert. The piano quintet was composed in 1819, when he was 22 years old; it was not published, however, until 1829, a year after his death. Rather than the usual piano quintet ensemble of piano and string quartet, the Trout Quintet is written for piano, violin, viola, cello and double bass. According to Schubert's friend Albert Stadler, it was modelled on the quintet version of Johann Nepomuk Hummel's Septet in D Minor for Flute, Oboe, Horn, Viola, Cello, Bass and Piano, Op. 74. It may also have been influenced by Hummel's Quintet in E flat Op. 87. The quintet consists of five movements: Allegro vivace (A major), Andante (F major), Scherzo: Presto (A major), Andantino – Allegretto (D major), Allegro giusto (A major). The rising sextuplet figure from the song's accompaniment is used as a unifying motif throughout the quintet, and related figures appear in four out of the five movements – all but the Scherzo. As in the song, the figure is usually introduced by the piano, ascending. The first movement is in sonata form. As is commonplace in works of the Classical genre, the exposition shifts from tonic to dominant; however, Schubert's harmonic language is innovative, incorporating many mediants and submediants. This is evident from almost the beginning of the piece: after stating the tonic for ten bars, the harmony shifts abruptly into F major (the flatted submediant) in the eleventh bar. The development section starts with a similar abrupt shift, from E major (at the end of the exposition) to C major. Harmonic movement is slow at first, but becomes quicker; towards the return of the first theme, the harmony modulates in ascending half tones. The recapitulation begins in the subdominant, making any modulatory changes in the transition to the second theme unnecessary, a frequent phenomenon in early sonata form movements written by Schubert."
Piano_Sonata_No.14(Beethoven),"The Piano Sonata No. 14 in C-sharp minor, marked Quasi una fantasia, Op. 27, No. 2, is a piano sonata by Ludwig van Beethoven. It was completed in 1801 and dedicated in 1802 to his pupil Countess Julie ""Giulietta"" Guicciardi. The name Moonlight Sonata (German: Mondscheinsonate) grew popular later, likely after Beethoven's death. The piece is one of Beethoven's most popular compositions for the piano, and it was a popular favourite even in his own day. Beethoven wrote the Moonlight Sonata in his early thirties, after he had finished with some commissioned work; there is no evidence that he was commissioned to write this sonata. The first edition of the score is headed Sonata quasi una fantasia (""sonata almost a fantasy""), the same title as that of its companion piece, Op. 27, No. 1. Grove Music Online translates the Italian title as ""sonata in the manner of a fantasy"". ""The subtitle reminds listeners that the piece, although technically a sonata, is suggestive of a free-flowing, improvised fantasia"". The sonata consists of three movements: Adagio sostenuto, Allegretto, Presto agitato. The first movement, in C♯ minor and alla breve, is written in modified sonata-allegro form. Donald Francis Tovey warned players of this movement to avoid ""taking [it] on a quaver standard like a slow 12/8"". The movement opens with an octave in the left hand and a triplet figuration in the right. A melody that Hector Berlioz called a ""lamentation"", mostly by the left hand, is played against an accompanying ostinato triplet rhythm, simultaneously played by the right hand. The movement is played pianissimo (pp) or ""very quietly"", and the loudest it gets is piano (p) or ""quietly"". The adagio sostenuto tempo has made a powerful impression on many listeners. In his book Beethoven's pianoforte sonatas, the renowned pianist Edwin Fischer suggests that this movement of this sonata is based on Mozart's ""Ah Soccorso! Son Tradito"" of his opera Don Giovanni, which comes just after the Commendatore’s murder."
Sturm_und_Drang,"Sturm und Drang was a proto-Romantic movement in German literature and music that occurred between the late 1760s and early 1780s. Within the movement, individual subjectivity and, in particular, extremes of emotion were given free expression in reaction to the perceived constraints of rationalism imposed by the Enlightenment and associated aesthetic movements. The period is named after Friedrich Maximilian Klinger's play of the same name, which was first performed by Abel Seyler's famed theatrical company in 1777. Major philosophical/theoretical influences on the literary Sturm und Drang movement were Johann Georg Hamann (especially the 1762 text Aesthetica in nuce. Eine Rhapsodie in kabbalistischer Prose) and Johann Gottfried Herder, both from Königsberg, and both formerly in contact with Immanuel Kant. Significant theoretical statements of Sturm und Drang aesthetics by the movement's central dramatists themselves include Lenz' Anmerkungen übers Theater and Goethe's Von deutscher Baukunst and Zum Schäkespears Tag (sic). The most important contemporary document was the 1773 volume Von deutscher Art und Kunst. Einige fliegende Blätter, a collection of essays that included commentaries by Herder on Ossian and Shakespeare, along with contributions by Goethe, Paolo Frisi (in translation from the Italian), and Justus Möser. Notable literary works are: Zum Shakespears Tag, Sesenheimer Lieder, Götz von Berlichingen, Die Leiden des jungen Werthers, Mahomets Gesang, Adler und Taube, An Schwager Kronos, Gedichte der Straßburger und Frankfurter Zeit, Stella. Ein Schauspiel für Liebende, and Die Geschwister."
